episode, show
359, [62 64 33 52 73 70 64 62 77 71 59 53 60 57 63 80]
360, [61 61 44 64 71 53 62 61 61 82 63 56 64 63 70 64]
361, [59 45 38 55 67 68 76 59 63 67 78 60 64 73 60 68]
362, [76 57 37 65 56 59 60 71 53 79 75 65 70 63 60 54]
363, [66 57 46 57 54 64 79 67 64 64 61 72 65 61 67 56]
364, [60 60 33 69 66 63 50 56 65 73 83 68 70 66 57 61]
365, [57 77 45 69 62 50 57 64 63 67 75 69 73 66 51 55]
366, [65 63 31 54 62 64 66 68 58 57 74 56 70 69 66 77]
367, [69 73 53 68 52 68 71 67 75 44 61 66 65 48 56 64]
368, [50 69 49 64 67 66 56 75 66 65 47 70 71 64 56 65]
369, [65 63 38 62 51 67 57 68 80 55 60 64 68 75 54 73]
370, [66 62 67 53 61 62 68 67 50 78 64 64 58 52 64 64]
371, [70 66 42 54 68 69 60 62 58 61 63 60 52 65 66 84]
372, [51 61 42 74 56 69 71 70 64 68 61 72 56 64 58 63]
373, [47 66 40 81 58 58 58 69 76 63 77 65 73 56 59 54]
374, [64 60 42 58 55 69 63 55 59 79 57 68 55 67 72 77]
375, [63 66 40 61 53 67 71 73 51 72 66 64 72 61 60 60]
376, [62 70 21 61 90 50 71 64 73 58 61 59 80 66 65 49]
377, [63 56 40 62 56 71 59 65 57 59 72 59 60 67 77 77]
378, [70 50 25 66 63 56 62 68 62 75 44 64 66 77 69 83]
379, [65 53 47 69 49 65 61 77 57 66 73 63 62 60 74 59]
380, [65 54 78 60 44 48 60 71 74 64 61 75 55 69 64 58]
381, [62 77 43 64 50 71 60 53 56 60 72 63 72 64 73 60]
382, [66 71 47 68 59 52 80 66 59 70 74 61 52 50 55 70]
383, [63 56 48 78 46 52 70 71 69 67 60 64 68 64 64 60]
384, [83 50 53 66 42 74 55 71 69 60 71 61 66 65 67 47]
385, [90 55 48 60 55 77 49 67 57 61 61 61 61 61 80 57]
386, [57 60 42 76 59 61 66 54 67 56 63 70 67 54 69 79]
387, [56 65 36 71 64 63 50 65 73 78 52 67 67 53 70 70]
